"chamber","coarseroot_mass","fineroot_mass","fineroot_mass_all","Date","frootC","frootC_all","CrootC"
"ch01",4046.817,1788.64875,6348.8061,2009-03-16,894.324375,3174.40305,2023.4085
"ch02",4874.529,2187.95535,6874.53165,2009-03-16,1093.977675,3437.265825,2437.2645
"ch03",4603.21,2915.8668,10503.32535,2009-03-16,1457.9334,5251.662675,2301.605
"ch04",1749.8693,3590.55144,9015.16959,2009-03-16,1795.27572,4507.584795,874.93465
"ch05",2889.693,3257.704485,6439.89528,2009-03-16,1628.8522425,3219.94764,1444.8465
"ch06",1048.954,3225.540465,9328.8321,2009-03-16,1612.7702325,4664.41605,524.477
"ch07",2523.6206,3426.05907,8269.86762,2009-03-16,1713.029535,4134.93381,1261.8103
"ch08",3427.5633,4153.16853,8628.06168,2009-03-16,2076.584265,4314.03084,1713.78165
"ch09",5621.8775,2766.337875,6829.19811,2009-03-16,1383.1689375,3414.599055,2810.93875
"ch10",3035.5756,1764.061425,6041.26404,2009-03-16,882.0307125,3020.63202,1517.7878
"ch11",3940.939,3225.89925,8831.80935,2009-03-16,1612.949625,4415.904675,1970.4695
"ch12",1214.432,2069.17641,5118.17355,2009-03-16,1034.588205,2559.086775,607.216
