"Date","chamber","branch_mass"
2008-04-15,"ch01",1444.74549155787
2008-09-17,"ch01",1632.04465306937
2008-10-28,"ch01",2336.08877207838
2008-11-19,"ch01",3287.99957208018
2008-12-11,"ch01",3640.95443616571
2009-01-08,"ch01",4446.62198203374
2009-03-16,"ch01",6337.93
2008-04-15,"ch02",858.644850563069
2008-09-17,"ch02",1114.50103184198
2008-10-28,"ch02",2002.1874712666
2008-11-19,"ch02",2442.07120525398
2008-12-11,"ch02",3082.50293546452
2009-01-08,"ch02",3472.73583030771
2009-03-16,"ch02",5465.5
2008-04-15,"ch03",1183.2426001604
2008-09-17,"ch03",1700.10625685782
2008-10-28,"ch03",2692.0285520888
2008-11-19,"ch03",3659.3726067291
2008-12-11,"ch03",4692.75349181008
2009-01-08,"ch03",6040.48162649878
2009-03-16,"ch03",9160.15
2008-04-15,"ch04",723.124769126157
2008-09-17,"ch04",709.859123411862
2008-10-28,"ch04",1623.59896978636
2008-11-19,"ch04",2175.12528732601
2008-12-11,"ch04",2345.99781656249
2009-01-08,"ch04",2982.97818662707
2009-03-16,"ch04",4727.6
2008-04-15,"ch05",1555.27474849794
2008-09-17,"ch05",1737.89120377388
2008-10-28,"ch05",2918.90769032199
2008-11-19,"ch05",3464.01446760505
2008-12-11,"ch05",3649.47724294194
2009-01-08,"ch05",4192.61667208754
2009-03-16,"ch05",5803.41
2008-04-15,"ch06",433.404952045608
2008-09-17,"ch06",481.965623713205
2008-10-28,"ch06",745.251104064855
2008-11-19,"ch06",1009.36980064298
2008-12-11,"ch06",949.122929671446
2009-01-08,"ch06",1378.69378935289
2009-03-16,"ch06",1896.49
2008-04-15,"ch07",923.491316384915
2008-09-17,"ch07",1060.54719221565
2008-10-28,"ch07",1734.18322094997
2008-11-19,"ch07",2124.33802188915
2008-12-11,"ch07",2413.84781153609
2009-01-08,"ch07",2772.69568995826
2009-03-16,"ch07",3579.04
2008-04-15,"ch08",1389.02810160746
2008-09-17,"ch08",1540.99056335527
2008-10-28,"ch08",2336.00736635689
2008-11-19,"ch08",2648.79002757359
2008-12-11,"ch08",3213.41773889761
2009-01-08,"ch08",3725.98006741065
2009-03-16,"ch08",4980.83
2008-04-15,"ch09",1715.94308019692
2008-09-17,"ch09",2463.49393132818
2008-10-28,"ch09",3913.47061106935
2008-11-19,"ch09",4638.38352578344
2008-12-11,"ch09",5259.86998751971
2009-01-08,"ch09",5786.27072232024
2009-03-16,"ch09",8112.79
2008-04-15,"ch10",673.207677752116
2008-09-17,"ch10",781.017927935626
2008-10-28,"ch10",1589.12523241021
2008-11-19,"ch10",2011.74151828554
2008-12-11,"ch10",2176.20343133504
2009-01-08,"ch10",2672.58486458202
2009-03-16,"ch10",3726.12
2008-04-15,"ch11",755.098643731003
2008-09-17,"ch11",1142.52149598616
2008-10-28,"ch11",1959.50162650065
2008-11-19,"ch11",2336.77711953745
2008-12-11,"ch11",2720.71636175453
2009-01-08,"ch11",3066.5413292841
2009-03-16,"ch11",4218.12
2008-04-15,"ch12",339.1559156
2008-09-17,"ch12",501.441672012697
2008-10-28,"ch12",903.194580840531
2008-11-19,"ch12",1471.84279425476
2008-12-11,"ch12",1967.53629104388
2009-01-08,"ch12",2297.39213658721
2009-03-16,"ch12",2845.89
