"chamber","rootC","root_start","root11"
"ch01",4311.1995,1253.45984202318,3057.73965797682
"ch02",3186.701,984.192462500305,2202.50853749969
"ch03",3198.4385,1251.19084835813,1947.24765164187
"ch04",2002.29255,760.708386508883,1241.58416349112
"ch05",2719.9533,1396.37736400051,1323.57593599949
"ch06",1212.128,522.018109565154,690.109890434846
"ch07",2600.4525,965.169062151305,1635.2834378487
"ch08",3703.97245,1083.3485899374,2620.6238600626
"ch09",4219.86785,1404.57865377236,2815.28919622764
"ch10",3061.2002,770.325250788228,2290.87494921177
"ch11",3982.243,878.787014939785,3103.45598506021
"ch12",1622.8915,590.44908617097,1032.44241382903
