"treatment","Date","CO2cum","boleC","bolebranch","aboveC","CO2cum_se","boleC_se","bolebranch_se","aboveC_se"
"ambient-dry",2008-04-15,50.37,0,0,0,6.369,0,0,0
"ambient-dry",2008-04-16,80.17,11.94,13,16.06,9.347,0.777,1.233,1.908
"ambient-dry",2008-04-17,102.34,23.88,26,32.13,11.646,1.554,2.466,3.817
"ambient-dry",2008-04-18,106.68,35.83,39.01,48.46,11.906,2.331,3.699,5.677
"ambient-dry",2008-04-19,150.73,47.77,52.01,64.79,17.094,3.107,4.932,7.541
"ambient-dry",2008-04-20,185.83,59.71,65.01,81.12,21.771,3.884,6.165,9.407
"ambient-dry",2008-04-21,211.33,71.65,78.01,97.46,25.52,4.661,7.398,11.275
"ambient-dry",2008-04-22,228.26,83.6,91.02,113.8,27.64,5.438,8.631,13.144
"ambient-dry",2008-04-23,254.6,95.54,104.02,130.02,32.238,6.215,9.864,15.108
"ambient-dry",2008-04-24,284.31,107.48,117.02,146.25,36.538,6.992,11.097,17.304
"ambient-dry",2008-04-25,312.12,119.42,130.02,162.48,39.739,7.769,12.33,19.656
"ambient-dry",2008-04-26,376.99,131.37,143.03,178.71,49.125,8.546,13.563,22.114
"ambient-dry",2008-04-27,428.95,143.31,156.03,194.95,54.605,9.322,14.796,24.647
"ambient-dry",2008-04-28,477.79,155.25,169.03,211.19,61.577,10.099,16.029,27.235
"ambient-dry",2008-04-29,531.26,167.19,182.03,227.43,69.549,10.876,17.262,29.864
"ambient-dry",2008-04-30,576.53,179.14,195.03,246.29,75.861,11.653,18.495,31.648
"ambient-dry",2008-05-01,587.92,191.08,208.04,265.15,73.61,12.43,19.728,33.566
"ambient-dry",2008-05-02,635.18,203.02,221.04,284.3,79.446,13.207,20.961,35.81
"ambient-dry",2008-05-03,689.35,214.96,234.04,303.46,88.197,13.984,22.194,38.154
"ambient-dry",2008-05-04,728.12,226.91,247.04,322.62,93.297,14.761,23.427,40.582
"ambient-dry",2008-05-05,762.3,238.85,260.05,341.79,97.44,15.537,24.66,43.08
"ambient-dry",2008-05-06,780.66,250.79,273.05,360.96,98.678,16.314,25.893,45.637
"ambient-dry",2008-05-07,828.71,262.73,286.05,376.19,104.282,17.091,27.126,46.323
"ambient-dry",2008-05-08,875.38,274.67,299.05,391.42,110.342,17.868,28.359,47.01
"ambient-dry",2008-05-09,921.13,286.62,312.06,406.65,116.818,18.645,29.592,47.699
"ambient-dry",2008-05-10,960.92,298.56,325.06,421.89,122.684,19.422,30.825,48.389
"ambient-dry",2008-05-11,974.89,310.5,338.06,437.12,124.84,20.199,32.058,49.08
"ambient-dry",2008-05-12,1017.5,322.44,351.06,452.36,130.636,20.976,33.291,49.773
"ambient-dry",2008-05-13,1060.62,334.39,364.06,467.59,136.338,21.752,34.524,50.467
"ambient-dry",2008-05-14,1112.25,346.33,377.07,482.83,143.005,22.529,35.757,51.163
"ambient-dry",2008-05-15,1159.31,358.27,390.07,498.07,148.571,23.306,36.99,51.859
"ambient-dry",2008-05-16,1200.49,370.21,403.07,513.34,152.166,24.083,38.223,52.597
"ambient-dry",2008-05-17,1243.29,382.16,416.07,528.62,157.036,24.86,39.456,53.335
"ambient-dry",2008-05-18,1292.28,394.1,429.08,543.9,163.703,25.637,40.69,54.075
"ambient-dry",2008-05-19,1334.1,406.04,442.08,559.18,168.296,26.414,41.923,54.817
"ambient-dry",2008-05-20,1376.06,417.98,455.08,574.46,173.702,27.191,43.156,55.56
"ambient-dry",2008-05-21,1408.96,429.93,468.08,587.8,177.21,27.967,44.389,57.103
