"chamber","SoilCO2Efflux","SoilCO2Efflux_mumolm2s1","SoilCO2Efflux_gCm2d1"
"ch01",371.59341,8.60169930555556,8.91824184
"ch02",331.98475,7.68483217592592,7.967634
"ch03",343.0939,7.94198842592593,8.2342536
"ch04",231.10822,5.34972731481481,5.54659728
"ch05",284.29391,6.5808775462963,6.82305384
"ch06",297.01223,6.87528310185185,7.12829352
"ch07",230.82798,5.34324027777778,5.53987152
"ch08",304.44906,7.04743194444444,7.30677744
"ch09",309.6102,7.16690277777778,7.4306448
"ch10",212.48612,4.91866018518519,5.09966688
"ch11",273.98754,6.34230416666667,6.57570096
"ch12",241.67055,5.59422569444444,5.8000932
"ch13",290.08123,6.71484328703704,6.96194952
"ch14",140.03544,3.24156111111111,3.36085056
"ch15",277.69358,6.42809212962963,6.66464592
"ch16",189.95387,4.39708032407407,4.55889288
"ch17",363.95004,8.42476944444444,8.73480096
"ch18",229.47259,5.31186550925926,5.50734216
