"Date","chamber","Diameter"
2008-01-16,"ch01",3.2445
2008-01-16,"ch02",2.4765
2008-01-16,"ch03",3.485
2008-01-16,"ch04",2.552
2008-01-16,"ch05",3.0135
2008-01-16,"ch06",2.0085
2008-01-16,"ch07",2.821
2008-01-16,"ch08",3.196
2008-01-16,"ch09",3.4155
2008-01-16,"ch10",2.237
2008-01-16,"ch11",2.0935
2008-01-16,"ch12",1.7485
2008-01-16,"ch13",2.059
2008-01-16,"ch14",2.748
2008-01-16,"ch15",1.999
2008-01-16,"ch16",3.49031385351244
2008-01-16,"ch17",3.1095
2008-01-16,"ch18",2.618
2008-02-21,"ch01",4.5
2008-02-21,"ch02",3.6
2008-02-21,"ch03",4.5
2008-02-21,"ch05",3.7
2008-02-21,"ch06",2.8
2008-02-21,"ch07",3.5
2008-02-21,"ch08",4.1
2008-02-21,"ch09",4.2
2008-02-21,"ch10",2.9
2008-02-21,"ch11",3.1
2008-02-21,"ch12",2.7
2008-02-21,"ch13",3
2008-02-21,"ch14",3.9
2008-02-21,"ch15",3.3
2008-02-21,"ch16",3.1
2008-02-21,"ch17",4
2008-02-21,"ch18",4
2008-03-04,"ch01",4.65
2008-03-04,"ch02",3.65
2008-03-04,"ch03",4.7
2008-03-04,"ch04",3.5
2008-03-04,"ch05",3.9
2008-03-04,"ch06",3
2008-03-04,"ch07",3.7
2008-03-04,"ch08",4.6
2008-03-04,"ch09",4.55
2008-03-04,"ch10",3
2008-03-04,"ch11",3.4
2008-03-04,"ch12",2.95
2008-03-04,"ch13",3.35
2008-03-04,"ch14",4.15
2008-03-04,"ch15",3.5
2008-03-04,"ch16",4.28981351576033
2008-03-04,"ch17",4.7
2008-03-04,"ch18",4.25
2008-03-11,"ch01",4.68
2008-03-11,"ch02",3.86
2008-03-11,"ch03",4.99
2008-03-11,"ch04",3.71
2008-03-11,"ch05",4.13
2008-03-11,"ch06",3.19
2008-03-11,"ch07",4.03
2008-03-11,"ch08",4.77
2008-03-11,"ch09",4.74
2008-03-11,"ch10",3.13
2008-03-11,"ch11",3.58
2008-03-11,"ch12",3.08
2008-03-11,"ch13",3.53
2008-03-11,"ch14",4.36
2008-03-11,"ch15",3.83
2008-03-11,"ch16",4.42648845022779
2008-03-11,"ch17",4.81
2008-03-11,"ch18",4.49
2008-03-14,"ch01",4.84
2008-03-14,"ch02",3.93
2008-03-14,"ch03",5.12
2008-03-14,"ch04",3.77
2008-03-14,"ch05",4.23
2008-03-14,"ch06",3.34
2008-03-14,"ch07",4.02
2008-03-14,"ch08",4.95
2008-03-14,"ch09",4.82
2008-03-14,"ch10",3.2
2008-03-14,"ch11",3.68
2008-03-14,"ch12",3.14
2008-03-14,"ch13",3.61
2008-03-14,"ch14",4.41
2008-03-14,"ch15",3.91
2008-03-14,"ch16",4.66567251315392
2008-03-14,"ch17",4.9
2008-03-14,"ch18",4.55
2008-03-18,"ch01",4.91
2008-03-18,"ch02",4.07
2008-03-18,"ch03",5.27
2008-03-18,"ch04",3.94
2008-03-18,"ch05",4.38
2008-03-18,"ch06",3.42
2008-03-18,"ch07",4.1
2008-03-18,"ch08",5.3
2008-03-18,"ch09",4.92
2008-03-18,"ch10",3.3
2008-03-18,"ch11",3.77
2008-03-18,"ch12",3.27
2008-03-18,"ch13",3.71
2008-03-18,"ch14",4.57
2008-03-18,"ch15",4.12
2008-03-18,"ch16",4.74248879808904
2008-03-18,"ch17",5
2008-03-18,"ch18",4.69
2008-03-25,"ch01",5.16
2008-03-25,"ch02",4.27
2008-03-25,"ch03",5.46
2008-03-25,"ch04",4.03
2008-03-25,"ch05",4.67
2008-03-25,"ch06",3.61
2008-03-25,"ch07",4.24
2008-03-25,"ch08",5.25
2008-03-25,"ch09",5.14
2008-03-25,"ch10",3.37
2008-03-25,"ch11",3.92
2008-03-25,"ch12",3.42
2008-03-25,"ch13",3.9
2008-03-25,"ch14",4.77
2008-03-25,"ch15",4.24
2008-03-25,"ch16",4.85815808717666
2008-03-25,"ch17",5.25
2008-03-25,"ch18",4.84
2008-03-31,"ch01",5.3
2008-03-31,"ch02",4.38
2008-03-31,"ch03",5.61
2008-03-31,"ch04",4.07
2008-03-31,"ch05",4.67
2008-03-31,"ch06",3.48
2008-03-31,"ch07",4.28
2008-03-31,"ch08",5.48
2008-03-31,"ch09",5.23
2008-03-31,"ch10",3.54
2008-03-31,"ch11",4.09
2008-03-31,"ch12",3.59
2008-03-31,"ch13",3.93
2008-03-31,"ch14",4.89
2008-03-31,"ch15",4.5
2008-03-31,"ch16",4.99489739634359
2008-03-31,"ch17",5.43
2008-03-31,"ch18",4.98
2008-04-08,"ch01",5.33
2008-04-08,"ch02",4.5
2008-04-08,"ch03",5.77
2008-04-08,"ch04",4.19
2008-04-08,"ch05",4.97
2008-04-08,"ch06",3.75
2008-04-08,"ch07",4.43
2008-04-08,"ch08",5.7
2008-04-08,"ch09",5.41
2008-04-08,"ch10",3.69
2008-04-08,"ch11",4.26
2008-04-08,"ch12",3.67
2008-04-08,"ch13",4.05
2008-04-08,"ch14",5.13
2008-04-08,"ch15",4.67
2008-04-08,"ch16",5.17166317542046
2008-04-08,"ch17",5.6
2008-04-08,"ch18",5.15
2008-04-15,"ch01",5.4
2008-04-15,"ch02",4.68
2008-04-15,"ch03",5.91
2008-04-15,"ch04",4.35
2008-04-15,"ch05",4.98
2008-04-15,"ch06",3.82
2008-04-15,"ch07",4.54
2008-04-15,"ch08",5.88
2008-04-15,"ch09",5.67
2008-04-15,"ch10",3.87
2008-04-15,"ch11",4.42
2008-04-15,"ch12",3.81
2008-04-15,"ch13",4.26
2008-04-15,"ch14",5.32
2008-04-15,"ch15",4.75
2008-04-15,"ch16",5.33768676488233
2008-04-15,"ch17",5.61
2008-04-15,"ch18",5.36
2008-04-22,"ch01",5.57
2008-04-22,"ch02",4.86
2008-04-22,"ch03",6.01
2008-04-22,"ch04",4.42
2008-04-22,"ch05",5.15
2008-04-22,"ch06",3.91
2008-04-22,"ch07",4.71
2008-04-22,"ch08",5.99
2008-04-22,"ch09",5.76
2008-04-22,"ch10",4
2008-04-22,"ch11",4.61
2008-04-22,"ch12",3.91
2008-04-22,"ch13",4.28
2008-04-22,"ch14",5.48
2008-04-22,"ch15",5
2008-04-22,"ch16",5.43531047871232
2008-04-22,"ch17",5.68
2008-04-22,"ch18",5.55
2008-04-29,"ch01",5.76
2008-04-29,"ch02",4.92
2008-04-29,"ch03",6.23
2008-04-29,"ch04",4.57
2008-04-29,"ch05",5.36
2008-04-29,"ch06",4.16
2008-04-29,"ch07",4.79
2008-04-29,"ch08",6.22
2008-04-29,"ch09",6.12
2008-04-29,"ch10",4.22
2008-04-29,"ch11",4.78
2008-04-29,"ch12",4.03
2008-04-29,"ch13",4.42
2008-04-29,"ch14",5.58
2008-04-29,"ch15",5.04
2008-04-29,"ch16",5.75736050634316
2008-04-29,"ch17",5.59
2008-04-29,"ch18",5.83
2008-05-06,"ch01",5.72
2008-05-06,"ch02",4.97
2008-05-06,"ch03",6.09
2008-05-06,"ch04",4.57
2008-05-06,"ch05",5.29
2008-05-06,"ch06",4.02
2008-05-06,"ch07",4.75
2008-05-06,"ch08",6.2
2008-05-06,"ch09",5.92
2008-05-06,"ch10",4.14
2008-05-06,"ch11",4.78
2008-05-06,"ch12",4.08
2008-05-06,"ch13",4.45
2008-05-06,"ch14",5.71
2008-05-06,"ch15",5.19
2008-05-06,"ch16",5.54086635825121
2008-05-06,"ch17",5.72
2008-05-06,"ch18",5.7
2008-05-20,"ch01",5.84
2008-05-20,"ch02",5.17
2008-05-20,"ch03",6.3
2008-05-20,"ch04",4.8
2008-05-20,"ch05",5.53
2008-05-20,"ch06",4.2
2008-05-20,"ch07",5
2008-05-20,"ch08",6.4
2008-05-20,"ch09",6.07
2008-05-20,"ch10",4.38
2008-05-20,"ch11",5.03
2008-05-20,"ch12",4.28
2008-05-20,"ch13",4.65
2008-05-20,"ch14",5.96
2008-05-20,"ch15",5.3
2008-05-20,"ch16",5.84410814410548
2008-05-20,"ch17",5.78
2008-05-20,"ch18",5.66
2008-06-02,"ch01",6.02
2008-06-02,"ch02",5.42
2008-06-02,"ch03",6.61
2008-06-02,"ch04",4.9
2008-06-02,"ch05",5.77
2008-06-02,"ch06",4.36
2008-06-02,"ch07",5.11
2008-06-02,"ch08",6.6
2008-06-02,"ch09",6.31
2008-06-02,"ch10",4.59
2008-06-02,"ch11",5.21
2008-06-02,"ch12",4.44
2008-06-02,"ch13",4.83
