"","chamber","CO2_treatment","Water_treatment","inside_or_outside_WTC","barkdensity_wm","wood_wm","bark:wood diameter"
"1","ch01","ambient","wet","inside",0.141641272788295,1.78599278080987,0.852509653982858
"2","ch02","elevated","dry","inside",0.152250209338976,1.88681128428465,0.848378296786412
"3","ch03","ambient","wet","inside",0.109488994840977,1.72395435262798,0.887753273585309
"4","ch04","elevated","wet","inside",0.153458247494138,1.818158876001,0.846533320661432
"5","ch05","ambient","dry","inside",0.158251510271711,1.97740908508388,0.863708509941723
"6","ch06","elevated","wet","inside",0.245120702213518,2.30988777458215,0.833499058235175
"7","ch07","ambient","dry","inside",0.216136377346827,2.07998850611812,0.844657933522044
"8","ch08","elevated","wet","inside",0.176388580441254,1.94279840951137,0.84919845390163
"9","ch09","ambient","dry","inside",0.165698383807234,1.96116616693106,0.857774270848724
"10","ch10","elevated","dry","inside",0.177520035180269,2.15212053446577,0.854574824722152
"11","ch11","ambient","wet","inside",0.153375729007,1.99923391511695,0.86516906840561
"12","ch12","elevated","dry","inside",0.173996158581458,1.92832161428963,0.861336717193639
