"","chamber","Date","branch_mass"
"1","ch01","2008-04-15",429.46601511615
"2","ch02","2008-04-15",343.409721518876
"3","ch03","2008-04-15",582.080514878906
"4","ch04","2008-04-15",128.401165726342
"5","ch05","2008-04-15",495.733205918949
"6","ch06","2008-04-15",32.7093918428631
"7","ch07","2008-04-15",310.61249414856
"8","ch08","2008-04-15",309.24554690053
"9","ch09","2008-04-15",775.837717723321
"10","ch10","2008-04-15",173.631281075592
"11","ch11","2008-04-15",95.2750626425107
"12","ch12","2008-04-15",105.912944084374
"13","ch01","2008-09-17",485.417496872098
"14","ch02","2008-09-17",444.018120946416
"15","ch03","2008-09-17",831.317562080518
"16","ch04","2008-09-17",126.015732676744
"17","ch05","2008-09-17",554.045100311385
"18","ch06","2008-09-17",36.4088529993434
"19","ch07","2008-09-17",356.226435474335
"20","ch08","2008-09-17",343.114446420839
"21","ch09","2008-09-17",1113.05087289908
"22","ch10","2008-09-17",201.584976507767
"23","ch11","2008-09-17",143.755497856503
"24","ch12","2008-09-17",155.794005385994
"25","ch01","2008-10-28",692.020537443213
"26","ch02","2008-10-28",791.252941436396
"27","ch03","2008-10-28",1307.23929922267
"28","ch04","2008-10-28",284.09725250392
"29","ch05","2008-10-28",925.684920338601
"30","ch06","2008-10-28",55.9899419931943
"31","ch07","2008-10-28",578.144047135691
"32","ch08","2008-10-28",517.778654833226
"33","ch09","2008-10-28",1756.55541351777
"34","ch10","2008-10-28",406.088752439303
"35","ch11","2008-10-28",245.095688574699
"36","ch12","2008-10-28",276.911045079872
"37","ch01","2008-11-19",970.647360614479
"38","ch02","2008-11-19",964.265127685116
"39","ch03","2008-11-19",1771.9955694479
"40","ch04","2008-11-19",379.526447338184
"41","ch05","2008-11-19",1095.53451633406
"42","ch06","2008-11-19",75.7705606818634
"43","ch07","2008-11-19",705.983520359498
"44","ch08","2008-11-19",585.670598554106
"45","ch09","2008-11-19",2075.20633679551
"46","ch10","2008-11-19",511.505841870875
"47","ch11","2008-11-19",291.954607441703
"48","ch12","2008-11-19",449.220885528132
"49","ch01","2008-12-11",1074.70339381487
"50","ch02","2008-12-11",1213.14024845745
"51","ch03","2008-12-11",2258.66804989889
"52","ch04","2008-12-11",408.85859327894
"53","ch05","2008-12-11",1153.57812877738
"54","ch06","2008-12-11",70.8997914699095
"55","ch07","2008-12-11",800.071768174135
"56","ch08","2008-12-11",709.495399224969
"57","ch09","2008-12-11",2352.30582500512
"58","ch10","2008-12-11",552.523471710129
"59","ch11","2008-12-11",338.605760028488
"60","ch12","2008-12-11",597.092805728343
"61","ch01","2009-01-08",1309.57563201478
"62","ch02","2009-01-08",1361.9615385497
"63","ch03","2009-01-08",2897.13723242484
"64","ch04","2009-01-08",518.523948533819
"65","ch05","2009-01-08",1320.83599163572
"66","ch06","2009-01-08",102.93186002196
"67","ch07","2009-01-08",918.096499971392
"68","ch08","2009-01-08",821.704705012765
"69","ch09","2009-01-08",2585.91589276325
"70","ch10","2009-01-08",676.307728165249
"71","ch11","2009-01-08",381.322159558297
"72","ch12","2009-01-08",696.27606738601
"73","ch01","2009-03-16",1855.4
"74","ch02","2009-03-16",2130.7
"75","ch03","2009-03-16",4365.1
"76","ch04","2009-03-16",815.16
"77","ch05","2009-03-16",1814.9
"78","ch06","2009-03-16",140.26
"79","ch07","2009-03-16",1181.1
"80","ch08","2009-03-16",1093.33
"81","ch09","2009-03-16",3610
"82","ch10","2009-03-16",937.2
"83","ch11","2009-03-16",522.9
"84","ch12","2009-03-16",859.04
