chamber,wf,wbr1,wbr2,wbr,ws,wr1sam,wr1sieve,wr1,wr2,wr12,wr25,wr5,wstump,wr
ch01,6282.7,4061.9,1855.4,5917.3,13134.34586,3036.3,254.7,3291,2580.11,1254.5,1325.61,662.8,2042.6,8576.51
ch02,4706.75,2960.56,2130.7,5091.26,7954.498883,747.9,142.3,890.2,2082.6,576.1,1506.5,1146.1,2185.1,6304
ch03,6936.3,4111.5,4365.1,8476.6,13148.35799,646.8,214,860.8,2716.4,883.1,1833.3,636.6,2129,6342.8
ch04,4395.5,3388.4,815.16,4203.56,7176.820897,1577.1,230.5,1807.6,1115.2,404.4,710.8,0,1032.8,3955.6
ch05,4135,3109.6,1814.9,4924.5,7465.353614,1512.5,319.1,1831.6,1727.8,688.1,1039.7,541.2,1259.7,5360.3
ch06,2329.5,1427.8,140.26,1568.06,3890.706179,952.7,14.5,967.2,537,363.9,173.1,0,865.4,2369.6
ch07,4064.7,2180.5,1181.1,3361.6,6595.970627,1530.1,330.6,1860.7,1901.8,777.4,1124.4,0,1390.6,5153.1
ch08,5677.4,3326.7,1093.33,4420.03,7864.259974,1859.9,1112,2971.9,2734.9,967.6,1767.3,0,1650.4,7357.2
ch09,5772.4,3859,3610,7469,10653.06204,1705.6,180.5,1886.1,3104.5,899.4,2205.1,575.8,2835.1,8401.5
ch10,4542.51,2468.2,937.2,3405.4,6001.797344,1974.6,189.2,2163.8,2319.8,894.4,1425.4,311.7,1281.9,6077.2
ch11,4837.8,3222.7,522.9,3745.6,12170.14977,2764.3,260.9,3025.2,2951.1,956.5,1994.6,398,1507.2,7881.5
ch12,3067.8,1605.8,859.04,2464.84,4215.330466,1328.7,126,1454.7,1176.7,552.4,624.3,0,584.4,3215.8
ch13,2356.78,1526.2,1221.8,2748,2879.13187,1642.5,0,1642.5,1129.6,329,800.6,0,844.6,3616.7
ch14,3188.1,1892.8,1691.9,3584.7,4372.342592,1600.2,0,1600.2,3065.5,871.2,2194.3,1081.1,1569.7,7316.5
ch15,5185.8,2980.8,2214.9,5195.7,8604.221432,1729.9,0,1729.9,2892.3,885.9,2006.4,1332.4,1759.8,7714.4
ch16,4290.1,2704,950.4,3654.4,5307.9337,1795.8,0,1795.8,1545.3,424.2,1121.1,94,1727.3,5162.4
ch17,3673.1,2011.3,2635.3,4646.6,4558.580191,2094.3,0,2094.3,3077.5,873.2,2204.3,657.2,1631,7460
ch18,2778,1895.5,1141.2,3036.7,3560.47043,1417.2,0,1417.2,3373.4,894.1,2479.3,223.3,1750,6763.9
