chamber,layerno,branchnumber,stemnumber,oldbranchnumber,azimuthangle ,diameter,length, insertionheight,tipheight,br2order,Wleafandpetiole,WsubsampleLA,leafarea,Wnonexpleaf,Wflowerbuds,Wbrlt1,Wbrgt1,Wdeadwood,Comments
ch01,1,1,1,22,S,0.48,96,90,0,4,15.3,,882.4,,,12.8,0,,0 means tip touching floor
ch01,1,2,1,23,W,1.44,162,99,0,20,103,,4869,,,101.7,103,,
ch01,1,3,1,28,SE,0.38,74,129,72,0,7,,324.4,,,6.5,0,,
ch01,1,4,1,36,N,1.52,144,182,120,21,121.1,,5406,,,50.1,90,,
ch01,1,5,1,31,W,1.15,133,151,80,21,70,,3506,,,85.4,16.6,1,
ch01,2,1,1,39,SE,0.86,90,192.5,149,13,52.6,,2307.39,,,48,1.8,,
ch01,2,2,1.2,20,NE,1.11,126,307.5,243,7,88.1,,3039,,,58.3,10.2,,
ch01,2,3,1.2,22,S,0.97,123,320,25,11,56.9,,2166.51,,,48.5,4.1,,
ch01,2,4,1.1,15,N,1.48,180,267,176,26,170.6,41.3,1526,,,98.8,92.9,,
ch01,2,5,1.1,21,NW,0.54,76,305,284.5,2,11.1,,407.42,,,16.1,0,,
ch01,3,1,1.1,29,W,0.84,108,263.5,307,5,39.9,,1848.22,,,37.8,0,,
ch01,3,2,1.1,32,SE,0.85,106,276.5,328.5,7,29.6,,1296.79,,,35.5,0,,
ch01,3,3,1.2,31,SE,0.48,72,396,343,0,10.8,,364.96,,,6.8,0,,
ch01,3,4,1.2,34,N,0.95,124,422,353,13,91.3,61.6,2600.12,,,62.4,3.74,,
ch01,3,5,1.1,38,SW,1.96,242,429,324.5,31,305.2,63.2,2670.12,,0.4,182.5,300,,Wall
ch01,4,1,1.2,42,E,0.81,108,485,447,10,64.7,,2703.23,,,37.22,0,,
ch01,4,2,1.2,43,SE,0.94,131,495,443,13,64.4,,2878.13,,,53.4,0,,
ch01,4,3,1.1.2,13,W,0.83,123,565.5,532,5,69.8,,2767.57,,,38.5,0,,
ch01,4,4,1.2,50,SE,0.6,104,544.5,490.5,3,44.3,,1746.18,,,18.8,0,,
ch01,4,5,1.1.1,6,SW,1.87,318,524,828,34,281.4,138,3083.16,16.78,,189.2,383.6,,
ch01,5,1,1.2,64,W,0.46,88,584.5,625.5,2,22.4,,849.07,,,12.9,0,,Straight up
ch01,5,2,1.1.2,19,NW,1.15,170,631,605,17,179,70.6,2581.24,,,126.2,22,,
ch01,5,3,1.1.2,20,S,0.62,120,570,614.5,5,46.2,,1652.15,,,27.3,0,,
ch01,5,4,1.2,63,NE,1.33,235,789.5,618,23,238.8,75.3,2714.78,4,,127.9,94.2,,Cone
ch01,5,5,1.2,67,S,1.23,262,875,646,21,239.3,65.5,2715.13,7.8,,147.5,146.6,,Damper
ch02,1,1,1,16,S,0.87,115,93.5,20,5,33.1,,1220.97,,,54.9,0,,
ch02,1,2,1,21,N,1.13,126,127,15,6,78.3,,2731.49,,,81,10.2,,
ch02,1,3,1,26,SE,0.92,113,155,70,5,60.7,,2300.41,,,53.2,0,,
ch02,1,4,1,19,W,0.94,130,115,10,7,58.8,,2116.83,,,58.1,3.2,,
ch02,1,5,1,28,SW,0.77,107,165,100,4,18.7,,683.47,,,28.1,0,,
ch02,2,1,1,34,SE,1.15,130,194.5,105,6,61.3,,2201.3,,,56.7,7.2,,
ch02,2,2,1,45,E,2.09,220,257,352,22,224.8,83.7,2633.22,,,166.8,158.8,,Wall
ch02,2,3,1,47,N,0.77,100,269.5,208,2,25.6,,905.3,,,31.9,0,,
ch02,2,4,1,44,SW,2.39,285,251,279,31,486.4,124.9,4060.52,,,313.3,364.7,,Wall
ch02,2,5,1,50,S,1.58,185,293,265,19,206.5,,7278.87,,,128.2,85.6,,
ch02,3,1,1,59,NE,3.46,493,400,875,66,1371.1,99.3,2867.93,104.1,,924,1888.3,,Touching Damper - growing tip damaged
ch02,3,2,1,65,E,0.98,92,452,402,9,67.2,,1926.79,,,49.4,0,,
