chamber,Stemsegmnt,layerno,layerheightground
ch01,1,0,95
ch01,1,1,230
ch01,1.1,2,370
ch01,1.1,3,506
ch01,1.1.1,4,644
ch01,1.1.1,5,757
ch01,1.1.1,5,895
ch01,1.1.2,4,643
ch01,1.1.2,5,899
ch01,1.1.2,5,969
ch01,1.2,2,370
ch01,1.2,3,506
ch01,1.2,4,641
ch01,1.2,5,893
ch01,1.2,5,1003
ch02,1,0,95
ch02,1,1,233
ch02,1,2,371
ch02,1,3,509.5
ch02,1,4,647.5
ch02,1,5,888.5
ch02,1,5,947.5
ch03,1.1,0,95
ch03,1.1,1,229.5
ch03,1.1,2,370
ch03,1.1,3,508.5
ch03,1.1,4,646
ch03,1.1,5,892
ch03,1.1,5,1010
ch03,1.2,0,95
ch03,1.2,1,229.5
ch03,1.2,1,286.5
ch04,1.1,0,95
ch04,1.1.1,1,204
ch04,1.1.1,2,313
ch04,1.1.1,3,426.5
ch04,1.1.1,4,538
ch04,1.1.1,5,740
ch04,1.1.1,5,838
ch04,1.1.2,1,199
ch04,1.1.2,2,311
ch04,1.1.2,3,420
ch04,1.1.2,4,534
ch04,1.1.2,5,556
ch04,1.1.2,5,647
ch04,1.2,0,95
ch04,1.2.1,1,201
ch04,1.2.1,2,312
ch04,1.2.1,3,425.5
ch04,1.2.1,4,535
ch04,1.2.1,5,675
ch04,1.2.1,5,779
ch04,1.2.2,1,197
ch04,1.2.2,2,308
ch04,1.2.2,3,419
ch04,1.2.2,4,535
ch04,1.2.2,5,566
ch04,1.2.2,5,689
ch05,1,0,95
ch05,1.1,1,223
ch05,1.1,2,353.5
ch05,1.1,3,483
ch05,1.1,4,608
ch05,1.1,5,708
ch05,1.1,5,792
ch05,1.2.1,1,223
ch05,1.2.1,2,354
ch05,1.2.1,3,483
ch05,1.2.1,4,617
ch05,1.2.1,5,820
ch05,1.2.1,5,928
ch05,1.2.2,1,223
ch05,1.2.2,2,351
ch05,1.2.2,3,488.5
ch05,1.2.2,4,665.5
ch05,1.2.2,4,775.5
ch06,1,0,95
ch06,1,1,213
ch06,1,2,335
ch06,1,3,452
ch06,1,4,571
ch06,1,5,805
ch06,1,5,887
ch07,1,0,95
ch07,1,1,230.5
ch07,1,2,370
ch07,1,3,508
ch07,1,4,646.5
ch07,1,5,876.5
ch07,1,5,962.5
ch08,1.1,0,95
ch08,1.1,1,230
ch08,1.1,2,367
ch08,1.1,3,502.5
ch08,1.1,4,637
ch08,1.1,5,850
ch08,1.1,5,945
ch08,1.2,0,95
ch08,1.2,1,228
ch08,1.2,2,370
ch08,1.2,3,505
ch08,1.2,4,637.5
ch08,1.2,5,751.5
ch08,1.2,5,856.5
ch09,1,0,95
ch09,1,1,231
ch09,1,2,368
ch09,1,3,507.5
ch09,1,4,645.5
ch09,1,5,877.5
ch09,1,5,951.5
ch10,1,0,95
ch10,1.1,1,214
ch10,1.1,2,335
ch10,1.1,3,459
ch10,1.1,4,577
ch10,1.1,5,814
ch10,1.1,5,905
ch10,1.2,1,215
ch10,1.2,2,336.5
ch10,1.2,3,454.5
ch10,1.2,4,575
ch10,1.2,5,620
ch10,1.2,5,740
ch11,1,0,95
ch11,1.1,1,226
ch11,1.1,2,363
ch11,1.1,3,500.5
ch11,1.1,4,632
ch11,1.1,5,889
ch11,1.1,5,962
ch11,1.2,1,226
ch11,1.2,2,362
ch11,1.2,3,499
ch11,1.2,4,630
ch11,1.2,5,860
ch11,1.2,5,925
ch12,1,0,95
ch12,1,1,206
ch12,1,2,311
ch12,1,3,412
ch12,1,4,518.5
ch12,1,5,703.5
ch12,1,5,801.5
ch13,1,0,95
ch13,1,1,193.5
ch13,1,2,286.5
ch13,1,3,381.5
ch13,1,4,478.5
ch13,1,5,610.5
ch13,1,5,694.5
ch14,1,0,95
ch14,1,1,186.5
ch14,1,2,280
ch14,1,3,374
ch14,1,4,468
ch14,1,5,690
ch14,1,5,787
ch15,1,0,95
ch15,1,1,220.5
ch15,1,2,347
ch15,1,3,473
ch15,1,4,600
ch15,1,5,786
ch15,1,5,871
ch16,1.1,0,95
ch16,1.1,1,191.5
ch16,1.1,2,292
ch16,1.1,3,393
ch16,1.1,4,493
ch16,1.1,5,661
ch16,1.1,5,741
ch16,1.2,0,95
ch16,1.2,1,194.5
ch16,1.2,2,296
ch16,1.2,3,396.5
ch16,1.2,4,496.5
ch16,1.2,5,554.5
ch16,1.2,5,638.5
ch17,1,0,95
ch17,1,1,185
ch17,1,2,277.5
ch17,1,3,370.5
ch17,1,4,466
ch17,1,5,618
ch17,1,5,700
ch18,1,0,95
ch18,1,1,195.5
ch18,1,2,296.5
ch18,1,3,400.5
ch18,1,4,503.5
ch18,1,5,664.5
ch18,1,5,739.5
