chamber,layerno,Stemsegmnt,length,diambottom,diamtop,freshmass,comments
ch10,0,1,84.5,13.7,9.9,8875,
ch10,1,1,137,9.8,9.9,9969,
ch10,2,1.1,138,9.5,6.9,7297,
ch10,2,1.2,125,7,5.9,3998,
ch10,3,1.1,138,6.9,5.8,4524,
ch10,3,1.2,138,5.8,4.9,3336,
ch10,4,1.2,133,4.9,4.4,2493,
ch10,4,1.1.1,134,4.1,1.7,1040,
ch10,4,1.1.2,138,6,3.6,1836,
ch10,5,1.2,252,4.6,1,1789,
ch10,5,1.1.1,113,1.7,1,201,
ch11,5,1.1.2,256,3.6,1,1474,
ch11,0,1,90,13,9,8554,
ch11,1,1,141,9,8.4,8695,
ch11,2,1,139,8.5,7.1,7337,
ch11,3,1,138,7.2,5.3,4163,
ch11,4,1,137,5.3,4,2284,
ch11,5,1,241,3.8,1,1465,
ch11,0,1,91,14.5,12.3,13352,
ch11,1,1.1,136.7,12.1,10.3,14304,
ch11,1,1.2,270,3.9,1,1893,
ch11,2,1.1,141,10.2,8.9,11414,
ch12,3,1.1,139,8.9,6.4,6357,
ch12,4,1.1,137.5,6.3,4.8,3771,
ch12,5,1.1,247.5,4.7,1,2163,
ch12,0,1,89,11,9.8,6872,
ch12,0,1.1,,,,,
ch12,0,1.2,,,,,
ch13,1,1.1.1,115,7,5.3,3538,
ch13,1,1.1.2,94,4.7,3.3,1116,
ch13,1,1.2.1,113,7.5,4.8,3490,
ch13,1,1.2.2,84,4.8,3.6,1172,
ch13,2,1.1.1,111,5.1,4.1,1927,
ch13,2,1.1.2,112,3.2,2.5,742,
ch14,2,1.2.1,112,4.7,3.8,1604,
ch14,2,1.2.2,112,3.5,3,944,
ch14,3,1.1.1,113,4.2,3.6,1499,
ch14,3,1.1.2,112.5,2.5,2,487,
ch14,3,1.2.1,112,3.8,3.6,1343,
ch14,3,1.2.2,115,3,2.3,712,
ch15,4,1.1.1,112,3.6,3.3,1091,
ch15,4,1.1.2,112,2,1.3,337,
ch15,4,1.2.1,112,3.5,3,926,
ch15,4,1.2.2,113,2.3,1.8,452,
ch15,5,1.1.1,202,3.3,1,113,
ch15,5,1.1.2,22,1.3,1.1,32,
ch16,5,1.2.1,140,3,1,476,
ch16,5,1.2.2,32,1.8,1,63,
ch16,0,1,89,11.5,8.8,7348,
ch16,1,1,131,8.85,6.7,7650,
ch16,1,1.2.1,24,5.5,4.4,458,
ch16,1,1.2.2,14,3.8,3.4,143,
ch16,2,1.1,131,4.4,3.9,1821,
ch16,2,1.2.1,131,6.5,5.4,4009,
ch16,2,1.2.2,140,3.3,2.5,1050,
ch16,3,1.1,126,3.5,2.4,900,
ch16,3,1.2.1,129,5.3,2.8,1882,
ch16,3,1.2.2,143,2.7,1.6,476,
ch17,4,1.1,132,2.4,1.5,437,
ch17,4,1.2.1,134,2.8,2.6,773,
ch17,4,1.2.2,81,1.5,1,113,
ch17,5,1.1,100,1.5,1,159,
ch17,5,1.2.1,204,2.4,1,591,
ch17,0,1,91.5,9,6.9,4613,
ch18,1,1,122,6.6,6.4,4238,
ch18,2,1,121,6.3,5.9,3348,
ch18,3,1,119,5.7,4.85,2632,
ch18,4,1,121,4.8,3.8,1919,
ch18,5,1,233,3.4,1,1050,
ch18,0,1,89,11.9,8.75,6808,
7,1,1,141,8.8,8,7676,
7,2,1,139,8.1,6.5,6691,
7,3,1,138,6.45,4.5,3246,
7,4,1,138,4.5,3.1,1787,
7,5,1,230,3.05,1,947,
8,0,1,82,12,8.2,8540,Fork at L0 and L1 boundary
8,1,1.1,144,8.1,7,6805,
8,1,1.2,147,6.3,5.4,3858,
8,2,1.1,136,7.15,5.4,4395,
8,2,1.2,141,5.1,4.8,2418,
8,3,1.1,135,5.3,4.2,2453,
8,3,1.2,136,3.8,3.1,1381,
8,4,1.1,135,4.2,3.1,1410,
8,4,1.2,131,3.2,2.1,838,
8,5,1.1,230,2.8,1,694,
8,5,1.2,112,2.1,1,225,
9,0,1,83,13.3,10.8,9491,
9,1,1,145,10.8,10.25,13450,
9,2,1,136,10.2,7.6,9514,
9,3,1,139,7.4,5.2,4622,
9,4,1,138,5.1,3.8,2479,
9,5,1,231,3.5,1,1224,
10,0,1,90,10.8,8.3,6088,
10,1,1.1,122,8.1,6.4,5147,
10,1,1.2,94,3.4,4.1,1032,
10,2,1.1,121,6.3,5.2,3512,
10,2,1.2,120,3.4,2.8,1018,
10,3,1.1,121,5.2,3.4,2052,
10,3,1.2,118,2.6,2,515,
10,4,1.1,121,3.3,3,1071,
10,4,1.2,120,2,1.3,260,
10,5,1.1,237,3,1,976,
10,5,1.2,44.5,1.3,1,50,
11,0,1,87,12.4,10,8340,
11,1,1.1,140,10,6.8,7574,
11,1,1.2,103,6.9,6.2,3573,
11,2,1.1,136,6.9,6,4887,
11,2,1.2,135,6.1,5.6,3833,
11,3,1.1,133,6,4.6,3164,
11,3,1.2,136,5.6,4.4,2872,
11,4,1.1,134,4.7,4.1,2170,
11,4,1.2,130,4.4,4.1,1900,
11,5,1.1,255,4.3,1,1991,
11,5,1.2,230,4,1,1803,
12,0,1,88,9.5,8.6,5619,
12,1,1,114,8.4,7,5917,
12,2,1,105,6.7,5.4,2920,
12,3,1,100,5.2,4.8,2021,
12,4,1,107,5.1,3.1,1367,
12,5,1,184,3.3,1,744,
13,0,1,95,10.3,7.8,6031,
13,1,1,96,7.8,6.3,4126,
13,2,1,94,6.3,4.7,2503,
13,3,1,94.5,3,4.7,1271,
13,4,1,96,2.1,3,557,
13,5,1,133,1,2.1,297,
14,0,1,89.5,12.4,8.9,7998,
14,1,1,93.5,8.8,7.5,5104,
14,2,1,94,7.5,5.9,3733,
14,3,1,94.5,6,4.9,2101,
14,4,1,94,4.5,3.2,1188,
14,5,1,128.5,3.1,1,660,
15,0,1,92,14,10.6,11498,
15,2,1,126,8.35,7,5909,
15,3,1,126.5,7.1,4.7,3853,
15,1,1,127,10.6,8.5,9696,
15,4,1,126,4.7,3.3,1633,
15,5,1,186,3.2,1,772,
16,0,1.1,88.5,11.5,7,5829,
16,0,1.2,59.5,7.1,5.4,1792,
16,1,1.1,100,6.95,6,3290,
16,1,1.2,101,5.3,4.6,1986,
16,2,1.1,100,6,5.3,2468,
16,2,1.2,101,4.6,3.7,1404,
16,3,1.1,101,5.2,4,1675,
16,3,1.2,102,3.7,2.45,862,
16,4,1.1,99.5,4,2.8,918,
16,4,1.2,100,2.4,1.6,327,
16,5,1.1,168,2.8,1,579,
16,5,1.2,57.5,1.6,1,93,
17,0,1,87,12.3,9,7825,
17,1,1,92,9,7.4,5146,
17,2,1,93,7.3,6.4,3602,
17,3,1,92.5,6,4.4,2134,
17,4,1,95,4.5,3.1,1128,
17,5,1,152,2.4,1,404,
18,0,1,88,10.8,7.8,6149,
18,1,1,102,7.75,6.7,4443,
18,2,1,101,6.5,5.1,2931,
18,3,1,104,5.1,4.2,1713,
18,4,1,102,3.8,2.8,866,
18,5,1,160,2.6,1,506,
