"","chamber","Frootmass","Crootmass","rootmass_all"
"1","ch01",6348.8061,3336.06735,9684.87345
"2","ch02",6874.53165,7772.76045,14647.2921
"3","ch03",10503.32535,909.6255,11412.95085
"4","ch04",9015.16959,1323.135765,10338.305355
"5","ch05",6439.89528,10361.07765,16800.97293
"6","ch06",9328.8321,2206.3167,11535.1488
"7","ch07",8269.86762,1819.37763,10089.24525
"8","ch08",8628.06168,2081.649465,10709.711145
"9","ch09",6829.19811,1240.446375,8069.644485
"10","ch10",6041.26404,3498.28038,9539.54442
"11","ch11",8831.80935,8682.38595,17514.1953
"12","ch12",5118.17355,1209.7386,6327.91215
