"","Date","chamber","finerootbiomass","coarserootmass"
"1",2008-04-15,"ch01",7045.53537390906,9647.3853994644
"2",2008-04-15,"ch02",6399.77631059964,13543.799471798
"3",2008-04-15,"ch03",7931.02333687944,5045.27634420934
"4",2008-04-15,"ch04",6850.64583965856,6484.58458997997
"5",2008-04-15,"ch05",8058.84547511762,27641.2198571777
"6",2008-04-15,"ch06",4919.91329406883,6552.15980988715
"7",2008-04-15,"ch07",7276.73689751115,9763.04757095079
"8",2008-04-15,"ch08",7278.41261456741,6497.58060102172
"9",2008-04-15,"ch09",8785.293455514,13805.6783454214
"10",2008-04-15,"ch10",6125.84026735074,9737.87492905758
"11",2008-04-15,"ch11",6784.03625339512,18219.3207240139
"12",2008-04-15,"ch12",5937.79080623768,6661.11857003246
"13",2008-04-22,"ch01",7009.74219417835,9598.3741347118
"14",2008-04-22,"ch02",6372.065140782,13485.1545272056
"15",2008-04-22,"ch03",7979.57639848314,5076.16310405646
"16",2008-04-22,"ch04",6889.05007336429,6520.93671033577
"17",2008-04-22,"ch05",8052.04451389256,27617.8930835049
"18",2008-04-22,"ch06",4907.68576790651,6535.87563967796
"19",2008-04-22,"ch07",7279.9427974122,9767.34886061983
"20",2008-04-22,"ch08",7277.07259065278,6496.38433559219
"21",2008-04-22,"ch09",8793.21722234054,13818.1301749072
"22",2008-04-22,"ch10",6198.93399958624,9854.06758043979
"23",2008-04-22,"ch11",6830.84785576732,18345.038742811
"24",2008-04-22,"ch12",5992.54872636567,6722.54697169285
"25",2008-04-29,"ch01",7011.57295480646,9600.88097804111
"26",2008-04-29,"ch02",6427.90864266505,13603.3357189535
"27",2008-04-29,"ch03",8031.77797107595,5109.37084385825
"28",2008-04-29,"ch04",6949.64665719439,6578.29534234025
"29",2008-04-29,"ch05",8070.66636553356,27681.7646016952
"30",2008-04-29,"ch06",4969.08696727029,6617.64750164049
"31",2008-04-29,"ch07",7276.18212273121,9762.3032410892
"32",2008-04-29,"ch08",7281.66557369795,6500.48458095
"33",2008-04-29,"ch09",8798.76285857865,13826.8448832447
"34",2008-04-29,"ch10",6243.76368454994,9925.33059844766
"35",2008-04-29,"ch11",6881.99993017207,18482.4136055724
"36",2008-04-29,"ch12",6022.80165779045,6756.4852443413
"37",2008-05-06,"ch01",7041.33310435642,9641.63127124344
"38",2008-05-06,"ch02",6461.6011700049,13674.6389664175
"39",2008-05-06,"ch03",7917.64068132611,5036.76304237956
"40",2008-05-06,"ch04",7028.52438130411,6652.95826992784
"41",2008-05-06,"ch05",8069.35613302685,27677.2706050186
"42",2008-05-06,"ch06",4983.2837171464,6636.55421165943
"43",2008-05-06,"ch07",7286.47176495029,9776.10864148884
"44",2008-05-06,"ch08",7308.5507099721,6524.48546536827
"45",2008-05-06,"ch09",8840.08489484844,13891.7805332839
"46",2008-05-06,"ch10",6247.98035143401,9932.03357680531
"47",2008-05-06,"ch11",6906.90470463816,18549.2982825713
"48",2008-05-06,"ch12",6023.21610407503,6756.95017750121
"49",2008-05-20,"ch01",7070.69948786518,9681.84238430473
"50",2008-05-20,"ch02",6471.96817055643,13696.5785733318
"51",2008-05-20,"ch03",7989.72210084378,5082.61723613265
"52",2008-05-20,"ch04",7082.90171741215,6704.42997697903
"53",2008-05-20,"ch05",8074.62419254611,27695.3396437963
"54",2008-05-20,"ch06",5012.52827042264,6675.50103352024
"55",2008-05-20,"ch07",7290.59954032237,9781.64679243305
"56",2008-05-20,"ch08",7306.66960687088,6522.80616801785
"57",2008-05-20,"ch09",8842.49893780185,13895.5740890365
"58",2008-05-20,"ch10",6272.62308522624,9971.20662884486
"59",2008-05-20,"ch11",6981.14171364601,18748.6704300931
"60",2008-05-20,"ch12",6099.51273725386,6842.54108777117
"61",2008-06-02,"ch01",7112.22603780413,9738.70429902234
"62",2008-06-02,"ch02",6459.54148000136,13670.2800596326
"63",2008-06-02,"ch03",7887.23806155929,5017.42258506451
"64",2008-06-02,"ch04",7096.48912441144,6717.29134685678
"65",2008-06-02,"ch05",8055.19054397337,27628.6837245973
"66",2008-06-02,"ch06",5015.9678857519,6680.08178687396
"67",2008-06-02,"ch07",7275.33625153484,9761.16835317923
"68",2008-06-02,"ch08",7282.94833198007,6501.62972423482
"69",2008-06-02,"ch09",8839.6205771686,13891.0508797361
"70",2008-06-02,"ch10",6317.19721943828,10042.0634133975
"71",2008-06-02,"ch11",7088.9189059601,19038.1186523843
"72",2008-06-02,"ch12",6059.81939213617,6798.0123923526
"73",2008-06-16,"ch01",7076.34895138031,9689.57814162311
"74",2008-06-16,"ch02",6432.51318370438,13613.0802752426
"75",2008-06-16,"ch03",7810.84340768811,4968.82455128896
"76",2008-06-16,"ch04",7075.95526018742,6697.85470064323
"77",2008-06-16,"ch05",7979.6554165366,27369.604049864
"78",2008-06-16,"ch06",5030.0149479216,6698.78914830373
"79",2008-06-16,"ch07",7247.45926555613,9723.76637698053
"80",2008-06-16,"ch08",7298.40494613989,6515.42814452791
"81",2008-06-16,"ch09",8826.78167575382,13870.8751458077
"82",2008-06-16,"ch10",6361.61398368247,10112.6700365034
"83",2008-06-16,"ch11",7140.31557104273,19176.150391943
"84",2008-06-16,"ch12",6067.16567588074,6806.25358317062
"85",2008-07-01,"ch01",7134.11589599156,9768.67787619801
"86",2008-07-01,"ch02",6431.47883845897,13610.8912980177
"87",2008-07-01,"ch03",7747.03787499504,4928.23501686797
"88",2008-07-01,"ch04",7042.36800148814,6666.06216235141
"89",2008-07-01,"ch05",7986.44966615913,27392.9078032565
"90",2008-07-01,"ch06",5023.62700406773,6690.28191931708
"91",2008-07-01,"ch07",7225.08864146322,9693.75217277238
"92",2008-07-01,"ch08",7234.72056867043,6458.57586126968
"93",2008-07-01,"ch09",8822.57500724707,13864.2645627232
"94",2008-07-01,"ch10",6356.3739477028,10104.3402706644
"95",2008-07-01,"ch11",7250.9816024902,19473.3569287132
"96",2008-07-01,"ch12",6098.26673269848,6841.14329786023
"97",2008-07-16,"ch01",7133.2958643953,9767.55501463689
"98",2008-07-16,"ch02",6410.0009904622,13565.4378864864
"99",2008-07-16,"ch03",7732.32900510054,4918.87805116801
"100",2008-07-16,"ch04",7024.11735193604,6648.78672823722
"101",2008-07-16,"ch05",7921.88890094971,27171.4693464936
"102",2008-07-16,"ch06",4999.05935661164,6657.56362883839
"103",2008-07-16,"ch07",7142.8967229532,9583.47697364631
"104",2008-07-16,"ch08",7096.42886156313,6335.12016275869
