CHAMBER,DATE,DEPTH,ROOT_LENGTHraw,ROOT_LENGTH,ROOT_MASSraw,ROOT_MASS
ch01,4/04/2008,0-15,167.8,22,15.41,2
ch01,4/04/2008,15-30,158.4,20.8,13.21,1.7
ch01,4/04/2008,30-45,94.5,12.4,16.39,2.1
ch01,4/04/2008,45-60,301.9,39.6,42.21,5.5
ch02,4/04/2008,0-15,66.6,8.7,6.6,0.9
ch02,4/04/2008,15-30,9.2,1.2,1.31,0.2
ch02,4/04/2008,30-45,35.9,4.7,2.26,0.3
ch02,4/04/2008,45-60,98.3,12.9,9.45,1.2
ch03,4/04/2008,0-15,147.9,19.4,28.55,3.7
ch03,4/04/2008,15-30,10.3,1.3,0.65,0.1
ch03,4/04/2008,30-45,14,1.8,2,0.3
ch03,4/04/2008,45-60,136.8,17.9,27.69,3.6
ch04,4/04/2008,0-15,7.6,1,3.46,0.5
ch04,4/04/2008,15-30,45.4,6,7.56,1
ch04,4/04/2008,30-45,6.6,0.9,0.95,0.1
ch04,4/04/2008,45-60,13.3,1.7,9.72,1.3
ch05,4/04/2008,0-15,11.2,1.5,1.07,0.1
ch05,4/04/2008,15-30,45.8,6,11.81,1.5
ch05,4/04/2008,30-45,0,0,0,0
ch05,4/04/2008,45-60,74.9,9.8,5.63,0.7
ch06,4/04/2008,0-15,83,10.9,20.34,2.7
ch06,4/04/2008,15-30,25.9,3.4,2.53,0.3
ch06,4/04/2008,30-45,18.1,2.4,5.62,0.7
ch06,4/04/2008,45-60,4.2,0.6,0.26,0
ch07,4/04/2008,0-15,238.1,31.2,38.6,5.1
ch07,4/04/2008,15-30,273.3,35.8,100.34,13.1
ch07,4/04/2008,30-45,39.7,5.2,3.91,0.5
ch07,4/04/2008,45-60,0,0,0,0
ch08,4/04/2008,0-15,81.5,10.7,24.14,3.2
ch08,4/04/2008,15-30,12.3,1.6,1.15,0.2
ch08,4/04/2008,30-45,61.4,8,6.5,0.9
ch08,4/04/2008,45-60,32.1,4.2,2.02,0.3
ch09,4/04/2008,0-15,22.4,2.9,3.2,0.4
ch09,4/04/2008,15-30,19.5,2.6,1.23,0.2
ch09,4/04/2008,30-45,73.1,9.6,11.06,1.4
ch09,4/04/2008,45-60,0,0,0,0
ch10,4/04/2008,0-15,136.9,17.9,16.35,2.1
ch10,4/04/2008,15-30,32.4,4.2,13.32,1.7
ch10,4/04/2008,30-45,18,2.4,2.58,0.3
ch10,4/04/2008,45-60,0,0,0,0
ch11,4/04/2008,0-15,90.3,11.8,1.18,0.2
ch11,4/04/2008,15-30,37.1,4.9,0,0
ch11,4/04/2008,30-45,51.7,6.8,10.5,1.4
ch11,4/04/2008,45-60,24.3,3.2,0.98,0.1
ch12,4/04/2008,0-15,139.2,18.2,23.28,3.1
ch12,4/04/2008,15-30,183,24,52.04,6.8
ch12,4/04/2008,30-45,18.4,2.4,1.16,0.2
