species,chamber,treenumber,samplenumber,freshweight,volume,dryweight,wooddensity,moisturecontent,comments
E.saligna,ch01,38,1,81.29,90,33.56,372.8888889,58.71570919,
E.saligna,ch01,38,2,76.79,80,32.93,411.625,57.11681208,
E.saligna,ch01,38,3,32.77,40,14.12,353,56.91180958,
E.saligna,ch02,19,1,137.1,160,57.15,357.1875,58.31509847,
E.saligna,ch02,19,2,120.28,140,48.36,345.4285714,59.79381443,
E.saligna,ch03,13,1,140.94,150,56.27,375.1333333,60.07520931,
E.saligna,ch03,13,2,54.2,60,22.37,372.8333333,58.72693727,
E.saligna,ch04,9,1,91.66,105,39.06,372,57.38599171,
E.saligna,ch04,9,2,53.2,65,24.39,375.2307692,54.15413534,
E.saligna,ch04,9,3,5.83,5,2.98,596,48.88507719,
E.saligna,ch04,17,1,137.58,130,42.81,329.3076923,68.88355866,
E.saligna,ch04,17,2,46.43,55,22.23,404.1818182,52.12147319,
E.saligna,ch04,17,3,7.74,8,3.97,496.25,48.70801034,
E.saligna,ch06,36,1,51.52,55,25.24,458.9090909,51.00931677,
E.saligna,ch06,36,2,24.26,25,11.81,472.4,51.31904369,
E.saligna,ch06,36,3,8.05,10,3.87,387,51.92546584
E.saligna,ch07,37,1,73.04,90,32.38,359.7777778,55.66812705
E.saligna,ch07,37,2,29.8,35,13.04,372.5714286,56.24161074
E.saligna,ch07,37,3,6.07,5,3.25,650,46.45799012
E.saligna,ch07,10,1,106.51,110,42.06,382.3636364,60.51075016
E.saligna,ch07,10,2,67.52,70,27.61,394.4285714,59.10841232
E.saligna,ch07,10,3,16.62,16,7.33,458.125,55.89651023
E.saligna,ch08,40,1,117.52,110,49.49,449.9090909,57.88801906
E.saligna,ch08,40,2,87.35,90,38.77,430.7777778,55.61534058
E.saligna,ch08,40,3,25.98,25,12.12,484.8,53.34872979
E.saligna,ch09,53,1,105.72,110,37.93,344.8181818,64.12220961
E.saligna,ch09,53,2,81.37,85,29.43,346.2352941,63.83187907
E.saligna,ch09,53,3,14.94,16,5.46,341.25,63.45381526
E.saligna,ch09,39,1,81.18,90,33.42,371.3333333,58.83222469
E.saligna,ch09,39,2,38.18,45,15.79,350.8888889,58.64326873
E.saligna,ch09,39,3,6.57,10,3.38,338,48.55403349
E.saligna,ch10,50,2,53.32,60,22.38,373,58.02700675,
E.saligna,ch10,50,3,9.61,11,4.38,398.1818182,54.42247659,
E.saligna,ch10,1,1,21.26,25,8.68,347.2,59.17215428,
E.saligna,ch10,1,2,15.36,15,6.39,426,58.3984375,
E.saligna,ch10,1,3,6.09,5,2.55,510,58.12807882,
E.saligna,ch11,25,1,115.74,120,40.75,339.5833333,64.79177467,
E.saligna,ch11,25,2,107.07,120,38.24,318.6666667,64.28504717,
E.saligna,ch11,25,3,22.08,20,8.32,416,62.31884058,
E.saligna,ch11,14,1,66.51,70,28.01,400.1428571,57.88603218,
E.saligna,ch11,14,2,33.71,35,14.48,413.7142857,57.04538713,
E.saligna,ch11,14,3,3.92,2.5,2.33,932,40.56122449,very small volume: bad data
E.saligna,ch12,,1,150.56,160,60.51,378.1875,59.81004251,
E.saligna,ch12,,2,59.83,60,23.26,387.6666667,61.12318235,
E.saligna,ch12,,3,30.36,30,15.58,519.3333333,48.68247694,
